"01","Guadeloupe","1"
"02","Martinique","2"
"03","Guyane","3"
"04","La Réunion","4"
"06","Mayotte","1"
"11","Île-de-France","2"
"24","Centre-Val de Loire","2"
"27","Bourgogne-Franche-Comté","3"
"28","Normandie","4"
"32","Hauts-de-France","1"
"44","Grand Est","1"
"52","Pays de la Loire","4"
"53","Bretagne","2"
"75","Nouvelle-Aquitaine","3"
"76","Occitanie","1"
"84","Auvergne-Rhône-Alpes","2"
"93","Provence-Alpes-Côte d'Azur","2"
"94","Corse","3"
